n,d,s0,graph_type,sem_type,fdr,tpr,fpr,shd,nnz,hamming
1000.0,10.0,1.0,ER,gauss,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,10.0,1.0,ER,exp,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,10.0,1.0,ER,gumbel,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,10.0,1.0,ER,uniform,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,10.0,1.0,ER,logistic,0.0,0.0,0.0,1.0,0.0,0.01
1000.0,10.0,1.0,ER,poisson,0.0,0.0,0.0,1.0,0.0,0.01
1000.0,10.0,10.0,ER,gauss,0.0,1.0,0.0,0.0,10.0,0.0
1000.0,10.0,10.0,ER,exp,0.0,1.0,0.0,0.0,10.0,0.0
1000.0,10.0,10.0,ER,gumbel,0.0,1.0,0.0,0.0,10.0,0.0
1000.0,10.0,10.0,ER,uniform,0.0,0.5,0.0,5.0,5.0,0.05
1000.0,10.0,10.0,ER,logistic,0.0,0.0,0.0,10.0,0.0,0.1
1000.0,10.0,10.0,ER,poisson,0.0,0.0,0.0,10.0,0.0,0.1
1000.0,10.0,20.0,ER,gauss,0.0,0.95,0.0,1.0,19.0,0.01
1000.0,10.0,20.0,ER,exp,0.0,0.9,0.0,2.0,18.0,0.02
1000.0,10.0,20.0,ER,gumbel,0.0,1.0,0.0,0.0,20.0,0.0
1000.0,10.0,20.0,ER,uniform,0.2,0.6,0.12,10.0,15.0,0.11
1000.0,10.0,20.0,ER,logistic,0.0,0.0,0.0,20.0,0.0,0.2
1000.0,10.0,20.0,ER,poisson,0.0,0.0,0.0,20.0,0.0,0.2
1000.0,10.0,45.0,ER,gauss,0.0,0.6222222222222222,0.0,17.0,28.0,0.17
1000.0,10.0,45.0,ER,exp,0.16,0.4666666666666667,4.0,24.0,25.0,0.28
1000.0,10.0,45.0,ER,gumbel,0.06060606060606061,0.6888888888888889,2.0,14.0,33.0,0.16
1000.0,10.0,45.0,ER,uniform,0.13636363636363635,0.4222222222222222,3.0,26.0,22.0,0.29
1000.0,10.0,45.0,ER,logistic,0.0,0.0,0.0,45.0,0.0,0.45
1000.0,10.0,45.0,ER,poisson,0.0,0.0,0.0,45.0,0.0,0.45
1000.0,20.0,1.0,ER,gauss,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,20.0,1.0,ER,exp,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,20.0,1.0,ER,gumbel,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,20.0,1.0,ER,uniform,0.0,1.0,0.0,0.0,1.0,0.0
1000.0,20.0,1.0,ER,logistic,0.0,0.0,0.0,1.0,0.0,0.0025
1000.0,20.0,1.0,ER,poisson,0.0,0.0,0.0,1.0,0.0,0.0025
1000.0,20.0,20.0,ER,gauss,0.0,0.95,0.0,1.0,19.0,0.0025
1000.0,20.0,20.0,ER,exp,0.0,1.0,0.0,0.0,20.0,0.0
1000.0,20.0,20.0,ER,gumbel,0.0,1.0,0.0,0.0,20.0,0.0
1000.0,20.0,20.0,ER,uniform,0.17647058823529413,0.7,0.01764705882352941,7.0,17.0,0.0225
1000.0,20.0,20.0,ER,logistic,0.0,0.0,0.0,20.0,0.0,0.05
1000.0,20.0,20.0,ER,poisson,0.0,0.0,0.0,20.0,0.0,0.05
1000.0,20.0,40.0,ER,gauss,0.02702702702702703,0.9,0.006666666666666667,4.0,37.0,0.0125
1000.0,20.0,40.0,ER,exp,0.05263157894736842,0.9,0.013333333333333334,5.0,38.0,0.015
1000.0,20.0,40.0,ER,gumbel,0.025,0.975,0.006666666666666667,1.0,40.0,0.005
1000.0,20.0,40.0,ER,uniform,0.05405405405405406,0.875,0.013333333333333334,7.0,37.0,0.0175
1000.0,20.0,40.0,ER,logistic,0.0,0.0,0.0,40.0,0.0,0.1
1000.0,20.0,40.0,ER,poisson,0.0,0.0,0.0,40.0,0.0,0.1
1000.0,20.0,190.0,ER,gauss,0.056,0.6210526315789474,7.0,72.0,125.0,0.1975
