n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
1,2,1,ER,gauss,0,l2,0.34558845,0.34558845,0.345593736,0.345613462,3.25E-09,0.345627882,0.345627882,0.345627882,0.345627882,0,0.456817724,0.456817724,0.456817724,0.456817724,-2.22E-16
2,3,2,ER,gauss,0,l2,0.17544151,0.17544151,0.175446175,0.175463604,9.66E-09,0.175476494,0.175476494,0.175476494,0.175476494,-4.44E-16,2.419599618,2.419599618,2.419599618,2.419599618,0
3,4,3,ER,gauss,0,l2,0.633114703,0.633114703,0.63313021,0.63318808,5.57E-09,0.633230455,0.633230455,0.633230455,0.633230455,0,1.465217764,1.465217764,1.465217764,1.465217764,0
4,5,4,ER,gauss,0,l2,0.993019498,0.993019498,0.993032417,0.993080623,5.08E-09,0.993115853,0.993115853,0.993115853,0.993115853,0,3.448970327,3.448970327,3.448970327,3.448970327,0
5,6,5,ER,gauss,0,l2,1.013058733,1.013058733,1.013070421,1.013114865,4.83E-09,1.013150984,1.013150984,1.013150984,1.013150984,8.88E-16,3.518658546,3.518658546,3.518658546,3.518658546,0
6,7,6,ER,gauss,0,l2,1.412159444,1.412159444,1.41219126,1.412310477,7.98E-09,1.432479985,1.432479985,1.432479985,1.432479985,0,3.453435286,3.453435286,3.453435286,3.453435286,0
7,8,7,ER,gauss,0,l2,1.462166883,1.462166883,1.462192765,1.462289126,7.19E-09,1.570437571,1.570437571,1.570437571,1.570437571,0,3.81078914,3.81078914,3.81078914,3.81078914,0
8,9,8,ER,gauss,0,l2,1.842638658,1.842638658,1.842658474,1.842734105,1.99E-09,2.095224646,2.095224646,2.095224646,2.095224646,-1.78E-15,5.235332098,5.235332098,5.235332098,5.235332098,0
9,10,9,ER,gauss,0,l2,1.830836055,1.830836055,1.830869947,1.83099644,8.23E-09,1.911611982,1.911611982,1.911611982,1.911611982,0,3.981605984,3.981605984,3.981605984,3.981605984,0
10,11,10,ER,gauss,0,l2,1.774032543,1.774032543,1.774056455,1.774144153,6.92E-09,1.800706131,1.800706131,1.800706131,1.800706131,-5.33E-15,5.043824542,5.043824542,5.043824542,5.043824542,0
11,12,11,ER,gauss,0,l2,2.123054475,2.123054475,2.123101508,2.123278237,9.70E-09,2.327664389,2.327664389,2.327664389,2.327664389,0,6.537192676,6.537192676,6.537192676,6.537192676,0
12,13,12,ER,gauss,0,l2,3.264972458,3.264972458,3.265015555,3.265176208,2.94E-09,3.397928142,3.397928142,3.397928142,3.397928142,-1.78E-15,6.490072158,6.490072158,6.490072158,6.490072158,0
13,14,13,ER,gauss,0,l2,2.242924753,2.242924753,2.242968157,2.243105083,2.95E-09,2.485015512,2.485015512,2.485015512,2.485015512,-3.55E-15,7.048046602,7.048046602,7.048046602,7.048046602,0
14,15,14,ER,gauss,0,l2,3.333157636,3.333157636,3.333198784,3.333351809,2.87E-09,3.960378354,3.960378354,3.960378354,3.960378354,0,7.0300219,7.0300219,7.0300219,7.0300219,0
15,16,15,ER,gauss,0,l2,3.416956062,3.416956062,3.417004487,3.417182661,3.11E-09,5.748814078,5.748814078,5.748814078,5.748814078,-3.55E-15,7.518837694,7.518837694,7.518837694,7.518837694,0
16,17,16,ER,gauss,0,l2,3.99344257,3.99344257,3.993499166,3.993707704,3.36E-09,5.35767566,5.35767566,5.35767566,5.35767566,0,8.850415999,8.850415999,8.850415999,8.850415999,0
17,18,17,ER,gauss,0,l2,3.830458026,3.830458026,3.830498995,3.830651172,2.86E-09,4.989377458,4.989377458,4.989377458,4.989377458,0,8.775496375,8.775496375,8.775496375,8.775496375,0
18,19,18,ER,gauss,0,l2,3.849847588,3.849847588,3.849900945,3.850102835,3.27E-09,4.397948412,4.397948412,4.397948412,4.397948412,-7.11E-15,9.252114323,9.252114323,9.252114323,9.252114323,0
19,20,19,ER,gauss,0,l2,4.407230095,4.407230095,4.407272662,4.407432574,2.92E-09,6.616049708,6.616049708,6.616049708,6.616049706,-2.13E-14,10.54380121,10.54380121,10.54380121,10.54380121,0
20,21,20,ER,gauss,0,l2,4.064669288,4.064669288,4.064716813,4.064892123,3.08E-09,5.776305911,5.776305911,5.776305911,5.776305911,-3.55E-15,9.940640301,9.940640301,9.940640301,9.940640301,0
21,22,21,ER,gauss,0,l2,4.858183681,4.858183681,4.858268438,4.858564555,4.12E-09,8.500504731,8.500504731,8.500504731,8.50050473,-1.07E-14,11.65619411,11.65619411,11.65619411,11.65619411,0
22,23,22,ER,gauss,0,l2,5.772031381,5.772031381,5.772158038,5.772630046,5.03E-09,20.8769624,20.8769624,20.8769624,20.8769624,1.42E-14,12.518681,12.518681,12.518681,12.518681,0
23,24,23,ER,gauss,0,l2,5.223832798,5.223832798,5.223924748,5.224266669,4.29E-09,12.39021293,12.39021293,12.39021293,12.39021293,0,11.92900428,11.92900428,11.92900428,11.92900428,0
24,25,24,ER,gauss,0,l2,5.858722087,5.858722087,5.858828516,5.859220364,4.61E-09,12.21161006,12.21161006,12.21161006,12.21161006,-4.26E-14,13.10687419,13.10687419,13.10687419,13.10687419,0
25,26,25,ER,gauss,0,l2,5.087101651,5.087101651,5.087314253,5.087824693,2.06E-09,10.10517116,10.10517116,10.10517116,10.10517116,1.42E-14,13.20900291,13.20900291,13.20900291,13.20900291,0
26,27,26,ER,gauss,0,l2,4.339825015,4.339825015,4.339925326,4.340182806,4.48E-09,7.044882641,7.044882641,7.044882641,7.04488264,-1.78E-14,11.06587538,11.06587538,11.06587538,11.06587538,0
27,28,27,ER,gauss,0,l2,6.449641184,6.449641184,6.449751081,6.450161503,4.69E-09,11.89994416,11.89994416,11.89994416,11.89994416,-3.55E-15,15.1593093,15.1593093,15.1593093,15.1593093,0
