n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
1,2,1,ER,gumbel,0,l2,1.053644826,1.053644826,1.053668194,1.053755407,6.84E-09,1.053819255,1.053819255,1.053819255,1.053819255,0,1.498348885,1.498348885,1.498348885,1.498348885,-2.22E-16
2,3,2,ER,gumbel,0,l2,0.930160266,0.930160266,0.930179729,0.930252399,6.24E-09,0.930305759,0.930305759,0.930305759,0.930305759,0,1.083219193,1.083219193,1.083219193,1.083219193,0
3,4,3,ER,gumbel,0,l2,1.273065625,1.273065625,1.273093705,1.273198767,7.49E-09,1.273276724,1.273276724,1.273276724,1.273276724,-4.44E-16,2.193533134,2.193533134,2.193533134,2.193533134,0
4,5,4,ER,gumbel,0,l2,0.925153214,0.925153214,0.925172465,0.925242466,6.21E-09,0.928512916,0.928512916,0.928512916,0.928512916,0,4.734615514,4.734615514,4.734615514,4.734615514,0
5,6,5,ER,gumbel,0,l2,0.851372752,0.851372752,0.851384141,0.851426599,4.77E-09,0.860758269,0.860758269,0.860758269,0.860758269,0,2.711780048,2.711780048,2.711780048,2.711780048,0
6,7,6,ER,gumbel,0,l2,2.964434475,2.964434475,2.964479228,2.964646059,2.99E-09,2.99188448,2.99188448,2.99188448,2.99188448,0,5.463154919,5.463154919,5.463154919,5.463154919,0
7,8,7,ER,gumbel,0,l2,3.409101644,3.409101644,3.409206084,3.409595319,4.57E-09,3.679594829,3.679594829,3.679594829,3.679594829,0,9.714449388,9.714449388,9.714449388,9.714449388,0
8,9,8,ER,gumbel,0,l2,2.008770425,2.008770425,2.008805641,2.008936938,2.65E-09,2.554666263,2.554666263,2.554666263,2.554666262,-1.78E-15,6.740561752,6.740561752,6.740561752,6.740561752,0
9,10,9,ER,gumbel,0,l2,3.560756836,3.560756836,3.560827839,3.561091883,3.77E-09,4.265703911,4.265703911,4.265703911,4.265703911,0,8.164965967,8.164965967,8.164965967,8.164965967,0
10,11,10,ER,gumbel,0,l2,4.4586733,4.4586733,4.458743498,4.459005745,3.75E-09,5.518067203,5.518067203,5.518067203,5.518067203,3.55E-15,10.17119788,10.17119788,10.17119788,10.17119788,0
11,12,11,ER,gumbel,0,l2,2.925208184,2.925208184,2.925238187,2.925350095,2.45E-09,3.180989506,3.180989506,3.180989506,3.180989506,0,11.00618707,11.00618707,11.00618707,11.00618707,0
12,13,12,ER,gumbel,0,l2,4.721419577,4.721419577,4.721470463,4.721659543,3.19E-09,5.093038389,5.093038389,5.093038389,5.09303839,1.78E-15,13.30064207,13.30064207,13.30064207,13.30064207,0
13,14,13,ER,gumbel,0,l2,5.00119827,5.00119827,5.001285969,5.001612319,4.19E-09,6.843282795,6.843282795,6.843282795,6.843282795,0,15.20469688,15.20469688,15.20469688,15.20469688,0
14,15,14,ER,gumbel,0,l2,4.815809518,4.815809518,4.815878898,4.816121392,3.73E-09,6.052719177,6.052719177,6.052719177,6.05271918,4.44E-14,19.01959608,19.01959608,19.01959608,19.01959608,0
15,16,15,ER,gumbel,0,l2,6.444004576,6.444004576,6.44425696,6.445197951,7.10E-09,12.7234006,12.7234006,12.7234006,12.7234006,0,13.11376193,13.11376193,13.11376193,13.11376193,0
16,17,16,ER,gumbel,0,l2,5.80892405,5.80892405,5.808978408,5.80918122,3.30E-09,7.91071152,7.91071152,7.91071152,7.91071152,0,14.83196888,14.83196888,14.83196888,14.83196888,0
17,18,17,ER,gumbel,0,l2,5.988079265,5.988079265,5.988173046,5.988523638,4.33E-09,7.85248179,7.85248179,7.85248179,7.85248179,-3.55E-15,16.00083846,16.00083846,16.00083846,16.00083846,0
18,19,18,ER,gumbel,0,l2,7.517687093,7.517687093,7.518451448,7.520272703,3.91E-09,24.65800858,24.65800858,24.65800858,24.65800855,-7.46E-14,18.1787273,18.1787273,18.1787273,18.1787273,0
19,20,19,ER,gumbel,0,l2,6.888804074,6.888804074,6.888917545,6.88934015,4.76E-09,10.00983297,10.00983297,10.00983297,10.00983297,7.11E-15,16.87600775,16.87600775,16.87600775,16.87600775,0
20,21,20,ER,gumbel,0,l2,8.411307861,8.411307861,8.411389938,8.411694049,4.05E-09,12.07096516,12.07096516,12.07096516,12.07096515,-6.39E-14,23.71705578,23.71705578,23.71705578,23.71705578,0
21,22,21,ER,gumbel,0,l2,6.036201345,6.036201345,6.036281589,6.036577181,4.01E-09,8.632043929,8.632043929,8.632043929,8.632043929,0,18.6296876,18.6296876,18.6296876,18.6296876,0
22,23,22,ER,gumbel,0,l2,7.415877676,7.415877676,7.416015797,7.416521691,5.26E-09,15.36044855,15.36044855,15.36044855,15.36044855,-3.55E-15,19.54252712,19.54252712,19.54252712,19.54252712,0
