n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
1,2,1,ER,uniform,0,l2,0.472388747,0.472388747,0.472396781,0.472426765,4.01E-09,0.472448708,0.472448708,0.472448708,0.472448708,0,0.830754894,0.830754894,0.830754894,0.830754894,-2.22E-16
2,3,2,ER,uniform,0,l2,0.171391558,0.171391558,0.171395283,0.171409182,8.63E-09,0.171419345,0.171419345,0.171419345,0.171419345,0,0.209128417,0.209128417,0.209128417,0.209128417,0
3,4,3,ER,uniform,0,l2,0.239075664,0.239075664,0.239079513,0.239093874,2.77E-09,0.239104393,0.239104393,0.239104393,0.239104393,0,0.582117576,0.582117576,0.582117576,0.582117576,0
4,5,4,ER,uniform,0,l2,0.159150966,0.159150966,0.159152373,0.159156382,5.30E-09,0.159162148,0.159162148,0.159162148,0.159162148,6.22E-15,0.718315227,0.718315227,0.718315227,0.718315227,0
5,6,5,ER,uniform,0,l2,0.193707077,0.193707077,0.193709514,0.193715812,2.21E-09,0.194142525,0.194142525,0.194142525,0.194142525,0,0.771405862,0.771405862,0.771405862,0.771405862,0
6,7,6,ER,uniform,0,l2,0.797396679,0.797396679,0.797409008,0.797455049,4.97E-09,0.834580752,0.834580752,0.834580752,0.834580752,0,1.13698973,1.13698973,1.13698973,1.13698973,0
7,8,7,ER,uniform,0,l2,0.491228343,0.491228343,0.491236959,0.491269478,4.15E-09,0.559897295,0.559897295,0.559897295,0.559897295,-1.78E-15,1.384839086,1.384839086,1.384839086,1.384839086,0
8,9,8,ER,uniform,0,l2,0.485532276,0.485532276,0.485543018,0.485583074,4.63E-09,0.569044371,0.569044371,0.569044371,0.569044371,0,1.230660996,1.230660996,1.230660996,1.230660996,0
9,10,9,ER,uniform,0,l2,0.869354764,0.869354764,0.869374346,0.869447438,6.26E-09,1.093362775,1.093362775,1.093362775,1.093362775,0,1.74087146,1.74087146,1.74087146,1.74087146,0
10,11,10,ER,uniform,0,l2,0.65860547,0.65860547,0.658619865,0.65867347,5.37E-09,0.830638233,0.830638233,0.830638233,0.830638233,0,1.652023638,1.652023638,1.652023638,1.652023638,0
