n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
74.0,75.0,74.0,ER,gauss,0.0,l2,16.971735900703237,16.971735900703237,16.976628714202263,16.987384792897632,9.892232810670976e-09,60.26223135875354,60.26223135875354,60.26223135875354,60.26223135875354,0.0,36.90283533165334,36.90283533165334,36.90283533165334,36.90283533165334,0.0
76.0,77.0,76.0,ER,gauss,0.0,l2,18.338190000617086,18.338190000617086,18.33855140122992,18.340018458203662,8.501771731062036e-09,82.72531255849145,82.72531255849145,82.72531255849145,82.72531255358703,-2.842170943040401e-14,39.761439010690594,39.761439010690594,39.761439010690594,39.761439010690594,0.0
78.0,79.0,78.0,ER,gauss,0.0,l2,18.02761509951513,18.02761509951513,18.03012006435494,18.03574933740755,7.078085673128953e-09,66.62389050907792,66.62389050907792,66.62389050907792,66.62389050907792,0.0,38.790009435551944,38.790009435551944,38.790009435551944,38.790009435551944,0.0
80.0,81.0,80.0,ER,gauss,0.0,l2,18.676428200029033,18.676428200029033,18.677448020335337,18.67987024785907,4.516238050200627e-09,92.78083150705554,92.78083150705554,92.78083150705554,92.78083150705554,0.0,40.1380739464463,40.1380739464463,40.1380739464463,40.1380739464463,0.0
82.0,83.0,82.0,ER,gauss,0.0,l2,19.52911818115599,19.52911818115599,19.74071856114791,20.173562554364835,6.5053882281063125e-09,171.69882765457794,171.69882765457794,171.69882765458198,171.69882576350864,-2.842170943040401e-14,40.87089457247553,40.87089457247553,40.87089457247553,40.87089457247553,0.0
84.0,85.0,84.0,ER,gauss,0.0,l2,20.347343279933376,20.347343279933376,20.348164919328035,20.350092874216273,1.281904360439512e-09,228.12097300807636,228.12097300807636,228.12097300807636,228.12097300807636,0.0,42.56881449920934,42.56881449920934,42.56881449920934,42.56881449920934,0.0
86.0,87.0,86.0,ER,gauss,0.0,l2,21.107755298237553,21.107755298237553,21.140326376820163,21.21064701937982,8.071069146353693e-09,89.37565033080747,89.37565033080747,89.37565033080747,89.37565033080747,0.0,43.55984612195638,43.55984612195638,43.55984612195638,43.55984612195638,0.0
88.0,89.0,88.0,ER,gauss,0.0,l2,20.72589307401121,20.72589307401121,20.874344662027813,21.178957980067647,5.4488822343046195e-09,109.96360484059159,109.96360484059159,109.96360484059159,109.96360484059159,0.0,44.17957643065079,44.17957643065079,44.17957643065079,44.17957643065079,0.0
90.0,91.0,90.0,ER,gauss,0.0,l2,20.4583548995654,20.4583548995654,20.4594435996383,20.46202507810213,4.666262043429015e-09,117.95263572733606,117.95263572733606,117.95263572733606,117.95263572733606,0.0,44.84799568580979,44.84799568580979,44.84799568580979,44.84799568580979,0.0
92.0,93.0,92.0,ER,gauss,0.0,l2,21.06521096511961,21.06521096511961,21.07603036699325,21.099397329800034,4.6517527607647935e-09,87.96550990069932,87.96550990069932,87.96550990069971,87.96551004346935,2.842170943040401e-14,44.23572150878849,44.23572150878849,44.23572150878849,44.23572150878849,0.0
94.0,95.0,94.0,ER,gauss,0.0,l2,22.15049869980904,22.15049869980904,22.15534426566049,22.16603966453589,3.1130582556215813e-09,137.6160425301742,137.6160425301742,137.61604253017433,137.61604248135072,-1.4210854715202004e-14,47.188320020568376,47.188320020568376,47.188320020568376,47.188320020568376,0.0
96.0,97.0,96.0,ER,gauss,0.0,l2,23.682167973819226,23.682167973819226,23.706519462152944,23.758800849588898,6.978751798669691e-09,150.02461960360247,150.02461960360247,150.02461960360247,150.02461960360247,0.0,49.38053217123591,49.38053217123591,49.38053217123591,49.38053217123591,0.0
98.0,99.0,98.0,ER,gauss,0.0,l2,23.26352580255545,23.26352580255545,23.26540650000866,23.26983861699736,6.133021202003874e-09,284.54852011060564,284.54852011060564,284.54852011060564,284.54852011060564,0.0,48.784935980508614,48.784935980508614,48.784935980508614,48.784935980508614,0.0
