n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
74.0,75.0,74.0,ER,gumbel,0.0,l2,29.864030498329576,29.864030498329576,29.86463087015407,29.866731038854343,3.4651748137548566e-09,133.22900805646313,133.22900805646313,133.22900805646313,133.22900805646313,0.0,72.9787319122777,72.9787319122777,72.9787319122777,72.9787319122777,0.0
76.0,77.0,76.0,ER,gumbel,0.0,l2,29.536663281326376,29.536663281326376,29.539880726640146,29.547107885630084,2.5367086209371337e-09,145.14408587272177,145.14408587272177,145.14408587272217,145.14408579174787,-2.842170943040401e-14,75.5668306989832,75.5668306989832,75.5668306989832,75.5668306989832,0.0
78.0,79.0,78.0,ER,gumbel,0.0,l2,31.104022924554332,31.104022924554332,31.104304850066008,31.107739940779275,7.509001420658024e-09,134.13277697909507,134.13277697909507,134.13277697909507,134.13277697909507,0.0,78.43371415000475,78.43371415000475,78.43371415000475,78.43371415000475,0.0
80.0,81.0,80.0,ER,gumbel,0.0,l2,32.70931114353427,32.70931114353427,32.72370288469064,32.755243418477356,5.3650239806302125e-09,130.09875803035965,130.09875803035965,130.09875803036056,130.09875777972724,-4.263256414560601e-14,80.05311872114271,80.05311872114271,80.05311872114271,80.05311872114271,0.0
82.0,83.0,82.0,ER,gumbel,0.0,l2,31.476800988106046,31.476800988106046,32.977755170990065,36.04112873354569,1.7326016177321435e-08,379.9826921307766,379.9826921307766,379.98269213084126,379.9826720301297,-1.1368683772161603e-13,82.17961397528587,82.17961397528587,82.17961397528587,82.17961397528587,0.0
84.0,85.0,84.0,ER,gumbel,0.0,l2,33.159379493800664,33.159379493800664,33.90528354197596,35.41526965578918,1.2213959621476533e-08,306.106002405244,306.106002405244,306.10600240524803,306.10599889153195,-2.842170943040401e-14,84.55316889859708,84.55316889859708,84.55316889859708,84.55316889859708,0.0
86.0,87.0,86.0,ER,gumbel,0.0,l2,34.51454490858006,34.51454490858006,34.51503610149637,34.51684670049802,3.1343034834208083e-09,197.2820075111669,197.2820075111669,197.2820075111669,197.2820075111669,0.0,84.57920738414691,84.57920738414691,84.57920738414691,84.57920738414691,0.0
88.0,89.0,88.0,ER,gumbel,0.0,l2,34.64395565504009,34.64395565504009,34.65193923704799,34.66975692758825,3.995893393948791e-09,238.71232252100097,238.71232252100097,238.71232252100108,238.71232245763488,-1.4210854715202004e-14,88.88218127202043,88.88218127202043,88.88218127202043,88.88218127202043,0.0
90.0,91.0,90.0,ER,gumbel,0.0,l2,37.32926905714033,37.32926905714033,37.33312203524483,37.34432140323732,8.778357596384012e-09,208.38253422298683,208.38253422298683,208.38253422298683,208.38253422298683,0.0,93.20584408662522,93.20584408662522,93.20584408662522,93.20584408662522,0.0
92.0,93.0,92.0,ER,gumbel,0.0,l2,37.2858575339352,37.2858575339352,37.31080087574546,37.364264934435546,7.0630505888402695e-09,269.9268497924128,269.9268497924128,269.9268497924129,269.9268496848432,-1.4210854715202004e-14,90.24593328049377,90.24593328049377,90.24593328049377,90.24593328049377,0.0
94.0,95.0,94.0,ER,gumbel,0.0,l2,39.59710317081225,39.59710317081225,40.441200629590995,42.196614189669205,1.2993055520382768e-08,207.20542652355266,207.20542652355266,207.20542652356175,207.205432283391,4.263256414560601e-14,95.24207080503452,95.24207080503452,95.24207080503452,95.24207080503452,0.0
96.0,97.0,96.0,ER,gumbel,0.0,l2,39.939598938722156,39.939598938722156,40.0535465951714,40.35959057997281,4.773838213623094e-09,202.4988126182662,202.4988126182662,202.49881261827022,202.49881079619482,-2.842170943040401e-14,93.11095111814548,93.11095111814548,93.11095111814548,93.11095111814548,0.0
98.0,99.0,98.0,ER,gumbel,0.0,l2,37.72227022520938,37.72227022520938,37.73048014432458,37.748743013518585,4.05213995691156e-09,406.8504421892328,406.8504421892328,406.8504421892328,406.8504421892328,0.0,95.48634028519304,95.48634028519304,95.48634028519304,95.48634028519304,0.0
