n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
74.0,75.0,74.0,ER,uniform,0.0,l2,5.934547380791481,5.934547380791481,5.948720383728383,5.979187702541212,5.324096719050431e-09,23.694153262975306,23.694153262975306,23.694153262975306,23.694153262975306,0.0,12.467954163644002,12.467954163644002,12.467954163644002,12.467954163644002,0.0
76.0,77.0,76.0,ER,uniform,0.0,l2,6.038781537300681,6.038781537300681,6.039155398869346,6.040012300999245,2.7344526642991696e-09,24.623427121864836,24.623427121864836,24.623427121864836,24.623427121864836,0.0,12.681075883356609,12.681075883356609,12.681075883356609,12.681075883356609,0.0
78.0,79.0,78.0,ER,uniform,0.0,l2,6.310511407624176,6.310511407624176,6.310596180573426,6.310910534675973,4.1175951537297806e-09,23.684896916481282,23.684896916481282,23.684896916481282,23.684896916481282,0.0,13.077937894338062,13.077937894338062,13.077937894338062,13.077937894338062,0.0
80.0,81.0,80.0,ER,uniform,0.0,l2,6.297443217575307,6.297443217575307,6.297683646817721,6.298448828407612,2.1928485693933908e-09,26.755365918841882,26.755365918841882,26.755365918841882,26.755365918841882,0.0,13.643298971493397,13.643298971493397,13.643298971493397,13.643298971493397,0.0
82.0,83.0,82.0,ER,uniform,0.0,l2,6.519195594687133,6.519195594687133,6.520254744050746,6.522701081749868,4.602497938321903e-09,72.53659519527169,72.53659519527169,72.53659519527184,72.53659522548548,5.684341886080802e-14,13.781303532444277,13.781303532444277,13.781303532444277,13.781303532444277,0.0
84.0,85.0,84.0,ER,uniform,0.0,l2,6.587991730792709,6.587991730792709,6.590682090589475,6.596436796973921,2.319637815162423e-09,64.16294830477274,64.16294830477274,64.16294830477284,64.16294834002804,1.4210854715202004e-14,14.17652624579608,14.17652624579608,14.17652624579608,14.17652624579608,0.0
86.0,87.0,86.0,ER,uniform,0.0,l2,6.866947711265733,6.866947711265733,6.868711643604712,6.872642774525001,5.939583047620545e-09,30.191005427824894,30.191005427824894,30.191005427824905,30.191005418419408,-1.4210854715202004e-14,14.300783159956248,14.300783159956248,14.300783159956248,14.300783159956248,0.0
88.0,89.0,88.0,ER,uniform,0.0,l2,7.196644123966893,7.196644123966893,7.20060092130446,7.209334657146802,8.895838732314587e-09,30.576256789525367,30.576256789525367,30.576256789525367,30.576256789525367,0.0,14.769309211012835,14.769309211012835,14.769309211012835,14.769309211012835,0.0
90.0,91.0,90.0,ER,uniform,0.0,l2,7.303842475146164,7.303842475146164,7.3059853549256895,7.310743462770902,6.546571285070968e-09,34.73749870347949,34.73749870347949,34.737498703479496,34.73749871380807,1.4210854715202004e-14,15.33718565485468,15.33718565485468,15.33718565485468,15.33718565485468,0.0
92.0,93.0,92.0,ER,uniform,0.0,l2,7.671563802950267,7.671563802950267,7.68062103211348,7.699666486663151,4.2561083546388545e-09,37.12005089483654,37.12005089483654,37.12005089483654,37.12005089483654,0.0,15.677598560731276,15.677598560731276,15.677598560731276,15.677598560731276,0.0
94.0,95.0,94.0,ER,uniform,0.0,l2,7.541258852217291,7.541258852217291,7.543020666587969,7.546854593361277,5.936016123087029e-09,39.37942625111046,39.37942625111046,39.379426251110466,39.37942626028891,1.4210854715202004e-14,15.78967157663951,15.78967157663951,15.78967157663951,15.78967157663951,0.0
96.0,97.0,96.0,ER,uniform,0.0,l2,8.634525668220808,8.634525668220808,9.460480847306254,11.314140947594163,1.2852666486651287e-08,46.09534759741789,46.09534759741789,46.09534759741789,46.09534759741789,0.0,16.13355339131943,16.13355339131943,16.13355339131943,16.13355339131943,0.0
98.0,99.0,98.0,ER,uniform,0.0,l2,8.089885655741783,8.089885655741783,8.273744356504373,8.650190879019181,6.063970658942708e-09,104.72860867036098,104.72860867036098,104.728608670362,104.72860778816333,-1.4210854715202004e-14,16.691576249674064,16.691576249674064,16.691576249674064,16.691576249674064,0.0
