n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
73.0,74.0,73.0,ER,gauss,0.0,l2,17.792276344121955,17.792276344121955,17.793184766585828,17.79533476706886,4.262446395841835e-09,103.93575905718218,103.93575905718218,103.93575905718218,103.93575905718218,0.0,37.362869701280175,37.362869701280175,37.362869701280175,37.362869701280175,0.0
75.0,76.0,75.0,ER,gauss,0.0,l2,17.62708273088503,17.62708273088503,17.62910449005405,17.633557338203513,2.0108501530557987e-09,84.84609514985524,84.84609514985524,84.84609514985534,84.84609518132402,1.4210854715202004e-14,37.998340511384846,37.998340511384846,37.998340511384846,37.998340511384846,0.0
77.0,78.0,77.0,ER,gauss,0.0,l2,17.66436984848379,17.66436984848379,17.66866894069045,17.67820971671799,9.272639545088168e-09,62.36948258413771,62.36948258413771,62.36948258413771,62.36948258413771,0.0,37.93911641733204,37.93911641733204,37.93911641733204,37.93911641733204,0.0
79.0,80.0,79.0,ER,gauss,0.0,l2,19.407307759664786,19.407307759664786,19.62519151279628,20.072761456952886,6.60126886486978e-09,117.9259414336905,117.9259414336905,117.9259414336915,117.92594239719588,1.4210854715202004e-14,40.868418402911644,40.868418402911644,40.868418402911644,40.868418402911644,0.0
81.0,82.0,81.0,ER,gauss,0.0,l2,19.287529529433602,19.287529529433602,19.35487648531131,19.494305081916117,3.670066917038639e-09,155.37014437870846,155.37014437870846,155.37014437870846,155.37014437870846,0.0,40.35034230408883,40.35034230408883,40.35034230408883,40.35034230408883,0.0
83.0,84.0,83.0,ER,gauss,0.0,l2,19.86991351739038,19.86991351739038,20.066292705642773,20.468724972353556,6.2670437728229444e-09,102.63902723193749,102.63902723193749,102.63902723194153,102.63902905701461,2.842170943040401e-14,42.460310884530536,42.460310884530536,42.460310884530536,42.460310884530536,0.0
85.0,86.0,85.0,ER,gauss,0.0,l2,20.89940783982904,20.89940783982904,21.031589601410527,21.302115002432878,5.141629344507237e-09,109.86014934246388,109.86014934246388,109.86014934246388,109.86014934246388,0.0,44.236085184255906,44.236085184255906,44.236085184255906,44.236085184255906,0.0
87.0,88.0,87.0,ER,gauss,0.0,l2,21.270210498022266,21.270210498022266,21.280232525430222,21.302475914669827,4.477058723750815e-09,183.7046304364656,183.7046304364656,183.7046304364656,183.7046304364656,0.0,44.97535741939385,44.97535741939385,44.97535741939385,44.97535741939385,0.0
89.0,90.0,89.0,ER,gauss,0.0,l2,21.721460734973206,21.721460734973206,21.72338954981297,21.72808769232946,6.2109819509714725e-09,83.11482206842474,83.11482206842474,83.11482206842474,83.11482206842474,0.0,44.62020974523133,44.62020974523133,44.62020974523133,44.62020974523133,0.0
91.0,92.0,91.0,ER,gauss,0.0,l2,21.60422236078144,21.60422236078144,21.680494154897982,21.838914063546863,3.905682888216688e-09,103.02909007911269,103.02909007911269,103.02909007911269,103.02909007911269,0.0,45.62805878585131,45.62805878585131,45.62805878585131,45.62805878585131,0.0
93.0,94.0,93.0,ER,gauss,0.0,l2,21.794614260486284,21.794614260486284,21.79606317946744,21.799533833684205,5.38315703124681e-09,132.19182321799917,132.19182321799917,132.19182321799917,132.19182321799917,0.0,46.51149045529537,46.51149045529537,46.51149045529537,46.51149045529537,0.0
95.0,96.0,95.0,ER,gauss,0.0,l2,23.73550224580898,23.73550224580898,23.73755213510892,23.742340958095426,2.024791001531412e-09,154.42765385140405,154.42765385140405,154.42765385140416,154.42765381779415,-1.4210854715202004e-14,48.82030744005958,48.82030744005958,48.82030744005958,48.82030744005958,0.0
97.0,98.0,97.0,ER,gauss,0.0,l2,23.470301372453772,23.470301372453772,23.474964186801213,23.485442873001528,9.65692947829666e-09,103.03043429350022,103.03043429350022,103.03043429350024,103.03043427808011,-1.4210854715202004e-14,49.31659520149244,49.31659520149244,49.31659520149244,49.31659520149244,0.0
99.0,100.0,99.0,ER,gauss,0.0,l2,23.106496082656033,23.106496082656033,23.108150840027143,23.11210304006455,5.752838205808075e-09,313.64908849294227,313.64908849294227,313.64908849294227,313.64908849294227,0.0,49.17193242071512,49.17193242071512,49.17193242071512,49.17193242071512,0.0
