n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
73.0,74.0,73.0,ER,gumbel,0.0,l2,29.198272542819105,29.198272542819105,29.19879315994163,29.200721747745796,3.2268161476167734e-09,133.78198746007394,133.78198746007394,133.78198746007394,133.78198746007394,0.0,72.8636768950422,72.8636768950422,72.8636768950422,72.8636768950422,0.0
75.0,76.0,75.0,ER,gumbel,0.0,l2,28.932791172793223,28.932791172793223,28.940812732278633,28.95829012394693,4.0053862448985456e-09,142.05454946898755,142.05454946898755,142.05454946898755,142.05454946898755,0.0,74.19846562124589,74.19846562124589,74.19846562124589,74.19846562124589,0.0
77.0,78.0,77.0,ER,gumbel,0.0,l2,30.584139356442968,30.584139356442968,30.585462051007557,30.58864586621679,5.143334647073061e-09,141.15369971356273,141.15369971356273,141.15369971356273,141.15369971356273,0.0,77.67559424680628,77.67559424680628,77.67559424680628,77.67559424680628,0.0
79.0,80.0,79.0,ER,gumbel,0.0,l2,30.75518146428914,30.75518146428914,30.820636166010214,30.95623870682977,3.618140453909291e-09,265.58547345913763,265.58547345913763,265.58547345913865,265.5854739917404,1.4210854715202004e-14,79.93387453595984,79.93387453595984,79.93387453595984,79.93387453595984,0.0
81.0,82.0,81.0,ER,gumbel,0.0,l2,32.78638994168245,32.78638994168245,33.85115764400663,36.03133382410179,1.4592927755074925e-08,228.12522127464837,228.12522127464837,228.1252212746494,228.12522339774404,1.4210854715202004e-14,78.87723108933461,78.87723108933461,78.87723108933461,78.87723108933461,0.0
83.0,84.0,83.0,ER,gumbel,0.0,l2,32.474541161596385,32.474541161596385,32.47892830218191,32.48924529860133,9.367113307234831e-09,188.6961263319956,188.6961263319956,188.6961263319956,188.6961263319956,0.0,82.15509266618852,82.15509266618852,82.15509266618852,82.15509266618852,0.0
85.0,86.0,85.0,ER,gumbel,0.0,l2,33.772771092660854,33.772771092660854,33.77286312601719,33.7749006802287,4.2902996710836305e-09,165.07457479336853,165.07457479336853,165.07457479336853,165.07457479336853,0.0,84.37866401771954,84.37866401771954,84.37866401771954,84.37866401771954,0.0
87.0,88.0,87.0,ER,gumbel,0.0,l2,33.558583801356,33.558583801356,33.57638326818415,33.61519770573739,5.966484195596422e-09,279.15234528722476,279.15234528722476,279.15234528722476,279.15234528722476,0.0,86.04726163491247,86.04726163491247,86.04726163491247,86.04726163491247,0.0
89.0,90.0,89.0,ER,gumbel,0.0,l2,35.56775318223369,35.56775318223369,35.65165941717638,35.82430950430147,4.096492034477706e-09,141.5931762059344,141.5931762059344,141.5931762059344,141.5931762059344,0.0,89.33848816950456,89.33848816950456,89.33848816950456,89.33848816950456,0.0
91.0,92.0,91.0,ER,gumbel,0.0,l2,36.905055602782014,36.905055602782014,37.129704083302755,37.589889175480856,6.702961741211766e-09,223.19035734024075,223.19035734024075,223.19035734024075,223.19035734024075,0.0,92.5899227502666,92.5899227502666,92.5899227502666,92.5899227502666,0.0
93.0,94.0,93.0,ER,gumbel,0.0,l2,38.6107086511493,38.6107086511493,39.2363435826215,40.63013641179619,1.1186017445652396e-08,267.2435736266431,267.2435736266431,267.24357362664415,267.24357539733575,1.4210854715202004e-14,89.98890689153363,89.98890689153363,89.98890689153363,89.98890689153363,0.0
95.0,96.0,95.0,ER,gumbel,0.0,l2,39.60081681666705,39.60081681666705,39.97788205177384,40.756395746606906,8.684068575348647e-09,294.2784555184222,294.2784555184222,294.2784555184222,294.2784555184222,0.0,94.19597603094493,94.19597603094493,94.19597603094493,94.19597603094493,0.0
97.0,98.0,97.0,ER,gumbel,0.0,l2,39.427751973811674,39.427751973811674,40.51665686558507,42.75555400749316,1.4757404187548673e-08,162.30413481250633,162.30413481250633,162.30413481251037,162.30413050055392,-2.842170943040401e-14,95.05662383318719,95.05662383318719,95.05662383318719,95.05662383318719,0.0
99.0,100.0,99.0,ER,gumbel,0.0,l2,39.41811039060992,39.41811039060992,39.42228510669971,39.43235385851647,9.137522738456028e-09,498.0311033536029,498.0311033536029,498.0311033536029,498.0311033536029,0.0,98.93374689868585,98.93374689868585,98.93374689868585,98.93374689868585,0.0
