n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
73.0,74.0,73.0,ER,uniform,0.0,l2,5.842744596421325,5.842744596421325,5.843470548074298,5.845122102155531,3.810384896496544e-09,20.920124773668043,20.920124773668043,20.920124773668043,20.920124773668043,0.0,12.211462038358832,12.211462038358832,12.211462038358832,12.211462038358832,0.0
75.0,76.0,75.0,ER,uniform,0.0,l2,5.912446369771163,5.912446369771163,5.912537875894737,5.912874872635539,4.277993070900266e-09,27.27452902998473,27.27452902998473,27.27452902998473,27.27452902998473,0.0,12.804315017936329,12.804315017936329,12.804315017936329,12.804315017936329,0.0
77.0,78.0,77.0,ER,uniform,0.0,l2,6.266412610177427,6.266412610177427,6.271737761531227,6.2829217421818715,3.2634801527819945e-09,20.82252622257556,20.82252622257556,20.82252622257556,20.82252622257556,0.0,12.824300466367667,12.824300466367667,12.824300466367667,12.824300466367667,0.0
79.0,80.0,79.0,ER,uniform,0.0,l2,6.285833891045068,6.285833891045068,6.290838767733665,6.3014921768343655,3.163819428664283e-09,41.55319435122017,41.55319435122017,41.55319435122027,41.5531943033686,-1.4210854715202004e-14,13.255032104567777,13.255032104567777,13.255032104567777,13.255032104567777,0.0
81.0,82.0,81.0,ER,uniform,0.0,l2,6.642385692564271,6.642385692564271,6.647309284465191,6.658041791740653,9.923297739078407e-09,44.166605368687826,44.166605368687826,44.166605368687826,44.166605368687826,0.0,13.542456947291914,13.542456947291914,13.542456947291914,13.542456947291914,0.0
83.0,84.0,83.0,ER,uniform,0.0,l2,6.690775279113348,6.690775279113348,6.690852327944135,6.691069507283557,1.2413607919370406e-09,38.61980401893579,38.61980401893579,38.61980401893579,38.61980401893579,0.0,13.850790882387514,13.850790882387514,13.850790882387514,13.850790882387514,0.0
85.0,86.0,85.0,ER,uniform,0.0,l2,6.881086011440506,6.881086011440506,6.891732451309866,6.914148890852877,4.614420845427958e-09,30.103721728011624,30.103721728011624,30.103721728011624,30.103721728011624,0.0,14.22251147630286,14.22251147630286,14.22251147630286,14.22251147630286,0.0
87.0,88.0,87.0,ER,uniform,0.0,l2,7.031288897118795,7.031288897118795,7.031870925383157,7.033203150719961,3.4118272651539883e-09,66.89002897287895,66.89002897287895,66.89002897287897,66.89002896733001,-1.4210854715202004e-14,14.659904361523274,14.659904361523274,14.659904361523274,14.659904361523274,0.0
89.0,90.0,89.0,ER,uniform,0.0,l2,7.066111530118388,7.066111530118388,7.066584203677373,7.067731846734415,9.722896265884629e-09,24.12894816467117,24.12894816467117,24.12894816467117,24.12894816467117,0.0,15.063034283220878,15.063034283220878,15.063034283220878,15.063034283220878,0.0
91.0,92.0,91.0,ER,uniform,0.0,l2,7.299573444831335,7.299573444831335,7.301203391576708,7.304753909408788,1.805517513275845e-09,42.56001661214693,42.56001661214693,42.56001661214693,42.56001661214693,0.0,15.465322309777717,15.465322309777717,15.465322309777717,15.465322309777717,0.0
93.0,94.0,93.0,ER,uniform,0.0,l2,7.386039132044927,7.386039132044927,7.387663795334121,7.391390741603185,5.700286465071258e-09,48.99728092348137,48.99728092348137,48.99728092348141,48.997280942064016,2.842170943040401e-14,15.648959718978778,15.648959718978778,15.648959718978778,15.648959718978778,0.0
95.0,96.0,95.0,ER,uniform,0.0,l2,7.71233668997155,7.71233668997155,7.712893608327343,7.714203430054962,3.3374192298651906e-09,44.79153783979037,44.79153783979037,44.79153783979037,44.79153783979037,0.0,15.758945908506298,15.758945908506298,15.758945908506298,15.758945908506298,0.0
97.0,98.0,97.0,ER,uniform,0.0,l2,7.857317627348594,7.857317627348594,7.8672791139042095,7.888595732975218,4.463515779207228e-09,33.45559316617872,33.45559316617872,33.45559316617882,33.45559323404626,1.4210854715202004e-14,16.352265962241415,16.352265962241415,16.352265962241415,16.352265962241415,0.0
99.0,100.0,99.0,ER,uniform,0.0,l2,8.092967752157092,8.092967752157092,8.094531846760772,8.098003767042458,1.7686687669993262e-09,120.00941470922774,120.00941470922774,120.00941470922784,120.00941473712393,1.4210854715202004e-14,16.74279033286504,16.74279033286504,16.74279033286504,16.74279033286504,0.0
