loss_est,loss_l1,obj_aug,obj_dual,h
5.0,0.0,0.0,0.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
5.0,5.0,5.0,5.0,0.0
